"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"logo";1;"LOGO";;;
2;"REF**";"OSHW-Logo2_14.6x12mm_SilkScreen";1;"OSHW-Logo2_14.6x12mm_SilkScreen";;;
3;",,,,,";"";6;"";;;
4;"C5";"C_0805_2012Metric";1;"2.2uF";;;
5;"R15,R14,R24";"R_0805_2012Metric";3;"100K";;;
6;"J6";"PinHeader_2x20_P2.54mm_Vertical";1;"Conn_02x20_Odd_Even";;;
7;" , , , ";"MountingHole_2.7mm_M2.5";4;"MountingHole_2.7mm_M2.5";;;
8;" , ";"MountingHole_4.3mm_M4";2;"MountingHole_4.3mm_M4";;;
9;" , , , ";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
10;"C1";"C_1206_3216Metric";1;"10nF";;;
11;"C2,C6,C7,C9";"C_0805_2012Metric";4;"100nF";;;
12;"C3";"C_0805_2012Metric";1;"10nF";;;
13;"C4,C8,C12,C18";"C_1206_3216Metric";4;"10uF";;;
14;"C10";"C_0805_2012Metric";1;"150pF";;;
15;"C11,C13,C14,C15";"C_1206_3216Metric";4;"22uF";;;
16;"C16,C17";"C_0805_2012Metric";2;"1uF";;;
17;"D1,D3,D5";"LED_0805_2012Metric";3;"LED";;;
18;"D2,D4";"D_SMA";2;"B340A-13-F";;;
19;"F1";"Fuse_1206_3216Metric";1;"Fuse";;;
20;"J1";"USB_Micro-B_GCT_USB3076-30-A";1;"USB_B_Micro";;;
21;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
22;"J3,J4";"SolderWirePad_1x02_P5.08mm_Drill1.5mm";2;"Conn_01x02";;;
23;"J5";"PinSocket_2x20_P2.54mm_Vertical";1;"Conn_02x20_Odd_Even";;;
24;"L1";"L_12x12mm_H6mm";1;"15uH";;;
25;"L2";"L_12x12mm_H6mm";1;"2.2uH";;;
26;"Q1";"SOT-23";1;"2N7000";;;
27;"R1,R4,R18";"R_0805_2012Metric";3;"1K";;;
28;"R2,R13";"R_0805_2012Metric";2;"47K";;;
29;"R3,R5,R6,R12";"R_0805_2012Metric";4;"10K";;;
30;"R7,R8,R9,R10,R11,R21";"R_0805_2012Metric";6;"200R";;;
31;"R16";"R_0805_2012Metric";1;"182K";;;
32;"R17";"R_0805_2012Metric";1;"33K";;;
33;"R19,R20";"R_0805_2012Metric";2;"2R";;;
34;"R22";"R_0805_2012Metric";1;"6.8K";;;
35;"R23";"R_0805_2012Metric";1;"270K";;;
36;"SW1";"SW_CuK_OS102011MA1QN1_SPDT_Angled";1;"SW_SPDT";;;
37;"U1";"HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias";1;"DRV8833PWP";;;
38;"U3";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias";1;"CS5080E";;;
39;"U4";"li-battery-case";1;"18650-Battery";;;
40;"U2";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias";1;"MP1584";;;
